B2,B3,B4,B5,B6,B7,B8,Chla
0.031236203565420874,0.04791315979645113,0.007806959951373379,0.04194489392129418,0.02135454093236876,0.013189011846680778,0.03235556849433491,4.5349250701870005
0.04852142919229749,0.011229345822940075,0.004473738994846303,0.044734145528136475,0.03313699661428737,0.0009222316292736071,0.04182737966404833,3.768130533627345
0.041959818254342154,0.011106177576449862,0.03369399115465533,0.024393087698084483,0.04531980415826074,0.01668861042591046,0.03354916986556514,3.7307992019884733
0.037959754525911105,0.02618051095747706,0.012554800757222498,0.04498789146722684,0.02787225129467906,0.03216196063330426,0.045701898395176924,4.376058606570172
0.0246805592132731,0.034432159520233284,0.029057402670091062,0.036208895953709214,0.03265137852577749,0.002463687160834226,0.04832284357791094,4.473929034715925
0.02467983561008608,0.04852037089038966,0.04532553771072301,0.045339977272706736,0.021197675976912536,0.039498540024691456,0.030078384601368018,5.117967656211803
0.021742508365045984,0.04416476883032526,0.026510220123988855,0.03293905119023044,0.03347235542404628,0.04323954957712966,0.036820834441270406,5.003076822505138
0.04598528437324806,0.03229513531883742,0.005614549604172745,0.031371214561491056,0.03732839241911401,0.003573109744823507,0.022851696104976935,4.191912188743932
0.038033450352296265,0.023681333314083293,0.006946546146486077,0.04745182197551667,0.03712721161256435,0.01964213657179909,0.02601407143299077,4.239323758786868
0.04124217733388137,0.05985622500788555,0.015252464437266444,0.02753507802645204,0.029972800765230956,0.04765152682854879,0.032403973001304806,5.13176750206458
0.020617534828874073,0.031309065111798644,0.01611658103226634,0.0453263697585843,0.029465995419894066,0.03238102751268568,0.026186081477053366,4.618336108689458
0.04909729556485983,0.03256935121648377,0.02042098522457421,0.034520617175282126,0.02319870856809794,0.030866064337251812,0.046296814723661525,4.574695809403514
0.044973279224012654,0.01818119105958346,0.0028513278319703735,0.03542286327653779,0.03100394961938805,0.03911233312944582,0.024748587681772943,3.8606554136261892
0.026370173320348286,0.04974047743749647,0.004912727892112679,0.029254048444684523,0.02298484006618894,0.006343340690601993,0.03366982464659276,4.82181166995398
0.02545474901621302,0.04468411128907443,0.018748056003335095,0.03719126601857047,0.04299787834136155,0.016189794853503928,0.03817097721379627,4.6858125584064005
0.025502135295603016,0.021038480639438018,0.005260983804394049,0.029756335888286342,0.048988228932445574,0.048162290883511316,0.040755917244825336,3.9162981817865776
0.029127267288786132,0.014119052280792134,0.005084193805406989,0.02117808242724957,0.049102233700001205,0.02258382567543136,0.0314920810917952,3.725254617541257
0.035742692948967134,0.04402496510373565,0.0044082934916476555,0.028159958160330685,0.045952132981261815,0.02906981435834645,0.04607297206174186,4.6042727832653085
0.03295835055926347,0.04272556071405676,0.0043825961317193116,0.02019137130219772,0.03802376448018857,0.01287291748159294,0.037049574532337766,4.711209259083755
0.02873687420594126,0.023662976349910464,0.00350290090586494,0.0493506436117057,0.0410259709173164,0.0024737636704575275,0.03318523341342655,3.7696010443708916
0.03835558684167138,0.057543178112520514,0.0012012158016567178,0.048972416294592425,0.028556174080412423,0.01840448507706493,0.022017219021561098,4.851323799157203
0.024184815819561258,0.01755289458904501,0.044803142426530176,0.03185465892416915,0.038923112605178625,0.04673341204417217,0.03394068405335495,4.344978850166374
0.028764339456056547,0.031616740052130096,0.01977585408974228,0.04185112563018938,0.03366948648319633,0.0004756386159468157,0.04462207522447191,4.469350075839033
0.03099085529881075,0.05718079600837994,0.0011888368909668589,0.03037418295231275,0.034460520193307975,0.006903323095447932,0.038436230546639465,4.972094109470585
0.03368209952651108,0.03098636584630611,0.024160280018070607,0.04013279471257929,0.04273329681125474,0.011224917489970839,0.044964873611873554,4.460737650835331
0.04355527884179041,0.041926297383204275,0.0003655685244578332,0.044162901291379376,0.028457550667917553,0.06407137348203745,0.03482035011797917,4.530001639992667
0.02599021346475079,0.029879719898139714,0.0345261586326162,0.04840268734076722,0.0295411883508356,0.0480527283578503,0.023553851152834454,4.617857598188667
0.035427033152408346,0.0237107601174335,0.016326461435434016,0.032006368275490166,0.0477392537338591,0.024241463429799062,0.020409195375076433,4.1871939185985365
0.03777243706586128,0.05919888239799141,0.004871933813066534,0.04349893948868143,0.021686728845529166,0.00038295310785278324,0.02909658640155774,4.928687845997633
0.021393512381599932,0.030466700315752153,0.015471625621576928,0.027977853518963564,0.034569028952400216,0.019354647497464524,0.040939714144933775,4.43771912913807
0.038226345557043157,0.05470496018395672,0.031626634690303856,0.049709969113809455,0.047384024012235855,0.009326710248032732,0.04370779711825082,5.019685881072575
0.025115723710618747,0.021497730294554308,0.023146041980621382,0.020773087962930536,0.03831089023454471,0.00452250776372045,0.028872585038609885,4.0868738837737935
